Date,Open,High,Low,Close,Volume
2005-04-25,4.08138,4.15813,3.99123,4.01188,209869.16657863
2005-04-26,4.08138,4.09543,3.7683,3.85167,369047.16179087
2005-04-27,3.90042,3.90749,3.46862,3.64967,487498.53093146
2005-04-28,3.64967,3.64967,2.89047,2.94629,977158.50082179
2005-04-29,3.00212,3.2042,2.74412,3.2042,1068354.8878046
2005-05-02,3.28756,3.56603,3.11349,3.46174,1329488.0984324
2005-05-03,3.44071,3.46174,3.2042,3.28068,258248.42586122
2005-05-04,3.34981,3.573,3.2042,3.54547,391453.68490167
2005-05-05,3.5384,3.62167,3.4126,3.50324,276127.85752758
2005-05-06,3.47579,3.573,3.39187,3.41969,229885.31661906
2005-05-09,3.39902,3.5171,3.39902,3.48276,314278.16873871
2005-05-10,3.48276,3.53124,3.41969,3.46174,128502.97388624
2005-05-11,3.46174,3.46174,3.30869,3.3433,270286.27585601
2005-05-12,3.34981,3.47579,3.12047,3.22477,197922.67526685
2005-05-13,3.28756,3.3365,3.02984,3.1761,174945.42908931
2005-05-16,3.2042,3.37111,3.05775,3.31529,148163.362467
2005-05-17,3.30869,3.36395,3.12725,3.31529,141636.05326893
2005-05-18,3.34981,3.82385,3.34981,3.73342,744902.15767697
2005-05-19,3.72634,3.87259,3.70541,3.78198,445027.49141862
2005-05-20,3.75425,3.85167,3.62167,3.78887,135492.45053946
2005-05-23,3.78198,3.95614,3.78198,3.87259,267833.56391956
2005-05-24,3.96983,3.96983,3.65665,3.72634,105059.2610214
2005-05-25,3.69843,3.69843,3.46862,3.6011,161128.77179619
2005-05-26,3.69145,3.70541,3.62167,3.69145,93596.433325483
2005-05-27,3.68475,3.92842,3.68475,3.81677,206218.04368289
2005-05-31,3.81677,4.0677,3.65665,3.80309,269944.48690079
2005-06-01,3.82385,3.87259,3.7122,3.78887,176301.8368298
2005-06-02,3.78198,3.85855,3.66364,3.68475,133454.61450462
2005-06-03,3.65665,3.85167,3.65665,3.82385,84860.393614986
2005-06-06,3.747,3.84459,3.747,3.81017,67313.077631524
2005-06-07,3.81677,3.90749,3.70541,3.83789,371474.07833445
2005-06-08,3.77491,3.95614,3.77491,3.84459,100410.71626896
2005-06-09,3.83063,3.94266,3.77491,3.85855,202300.36839441
2005-06-10,3.83789,4.04696,3.77491,3.92842,266348.17921485
2005-06-13,3.89344,4.03988,3.87259,3.99811,155171.11085682
2005-06-14,3.97681,4.0677,3.96294,4.04696,124588.52302186
2005-06-15,4.13013,4.5062,4.13013,4.49913,488391.69640874
2005-06-16,4.57625,4.71526,4.48564,4.64567,286383.67579992
2005-06-17,4.66697,4.71526,4.56928,4.63189,331558.93232943
2005-06-20,4.66697,4.66697,4.19312,4.3672,436624.64219905
2005-06-21,4.31128,4.45066,4.1025,4.29751,228736.34682938
2005-06-22,4.26272,4.42274,4.26272,4.35315,196814.5481825
2005-06-23,4.35315,4.38134,4.13013,4.22792,156258.81658849
2005-06-24,4.21368,4.21368,3.99123,4.01188,296264.38606795
2005-06-27,3.99811,4.19991,3.97681,4.17228,285771.03521982
2005-06-28,4.12335,4.28328,4.12335,4.22792,200787.03868079
2005-06-29,4.16522,4.33929,4.16522,4.26997,130263.50944798
2005-06-30,4.29751,4.33249,4.17908,4.19991,78040.736631336
2005-07-01,4.21368,4.29035,4.11636,4.17228,54901.194440477
2005-07-05,4.16522,4.26272,3.99123,4.02583,156716.68481151
2005-07-06,4.01886,4.17908,3.90749,4.13013,221445.9239263
2005-07-07,3.99811,4.18586,3.96294,4.15135,106051.30883794
2005-07-08,4.18586,4.31844,4.11636,4.24188,148424.54081956
2005-07-11,4.26272,4.63189,4.22792,4.49243,321125.77073128
2005-07-12,4.52751,4.6599,4.45066,4.62473,190863.33609134
2005-07-13,4.71526,4.86869,4.55514,4.6599,123373.98994204
2005-07-14,4.69423,4.69423,4.41558,4.63189,152675.40659897
2005-07-15,4.68753,4.68753,4.5062,4.57625,37845.065729124
2005-07-18,4.48564,4.57625,4.34598,4.4648,83808.156548478
2005-07-19,4.45066,4.58983,4.41558,4.56221,73638.32291896
2005-07-20,4.54798,4.70819,4.51327,4.61756,114860.43549483
2005-07-21,4.70819,4.76402,4.61756,4.68084,187018.74774926
2005-07-22,4.68753,4.88264,4.68753,4.75035,277614.31704033
2005-07-25,4.85463,4.92432,4.58983,4.64567,254240.46669778
2005-07-26,4.56928,4.70819,4.56928,4.64567,130630.01898799
2005-07-27,4.89632,4.89632,4.63888,4.69423,89620.718403101
2005-07-28,4.66697,4.79909,4.66697,4.7294,74497.094539122
2005-07-29,4.79909,4.80578,4.57625,4.6599,317390.8128088
2005-08-01,4.71526,4.88961,4.71526,4.79909,223212.90833625
2005-08-02,4.79909,5.20288,4.79909,5.07068,420342.37527308
2005-08-03,5.16101,5.19609,5.00769,5.04946,153096.73134879
2005-08-04,5.13338,5.13338,4.98713,5.05643,81595.126803901
2005-08-05,5.05643,5.1051,5.00769,5.0916,81863.828812714
2005-08-08,5.06351,5.1051,4.99401,4.99401,80374.14487586
2005-08-09,5.05643,5.16101,4.79909,4.91046,63132.074374408
2005-08-10,4.98713,5.06351,4.87566,5.00089,83014.948218464
2005-08-11,5.07068,5.1051,5.02174,5.05643,100275.29045652
2005-08-12,5.1051,5.22364,5.05643,5.17506,91749.913120927
2005-08-15,5.30049,5.30049,5.0916,5.2307,107161.58553835
2005-08-16,5.25164,5.25164,5.0916,5.14752,80812.666554242
2005-08-17,5.1051,5.14752,5.05643,5.0916,35503.059020318
2005-08-18,5.0916,5.1679,5.02174,5.14018,67713.981028671
2005-08-19,5.11208,5.21666,5.04946,5.1679,36141.494993255
2005-08-22,5.17506,5.17506,5.02174,5.07737,95061.396677527
2005-08-23,5.02881,5.06351,4.87566,4.93828,68887.671403163
2005-08-24,4.98713,5.02174,4.89632,4.96591,85723.46446729
2005-08-25,4.90319,5.12631,4.90319,5.02174,60316.077322059
2005-08-26,5.02174,5.02174,4.82663,4.85463,92803.22499547
2005-08-29,4.72234,4.75713,4.33249,4.53467,312423.05006987
2005-08-30,4.54798,4.54798,4.48564,4.5062,59379.919523357
2005-08-31,4.4648,4.81974,4.45066,4.81974,100954.56913479
2005-09-01,4.72234,5.44673,4.72234,5.39101,510428.48555545
2005-09-02,5.34914,5.46042,5.22364,5.32132,157802.2409271
2005-09-06,5.30049,5.55792,5.30049,5.55792,268699.85919598
2005-09-07,5.55792,5.81583,5.53029,5.63468,330730.25533426
2005-09-08,5.74605,5.75312,5.57216,5.67664,119558.4214169
2005-09-09,5.71144,5.73237,5.57932,5.62789,136835.96058352
2005-09-12,5.73237,5.73237,5.39101,5.60685,110781.53900107
2005-09-13,5.44673,5.70437,5.41185,5.53029,161334.06013093
2005-09-14,5.55792,5.55792,5.42572,5.48163,70806.203746081
2005-09-15,5.46042,5.55792,5.21666,5.34207,136254.48943645
2005-09-16,5.31434,5.51633,5.30049,5.43269,33176.099624005
2005-09-19,5.43948,5.47484,5.42572,5.45382,47015.327885862
2005-09-20,5.39789,5.43948,5.20288,5.27936,74298.255052601
2005-09-21,5.22364,5.38404,5.22364,5.2588,53012.756722548
2005-09-22,5.22364,5.30727,5.22364,5.23778,37933.199988015
2005-09-23,5.30727,5.30727,5.1679,5.27257,33516.81377118
2005-09-26,5.21666,5.30727,5.17506,5.2935,29471.236326505
2005-09-27,5.27257,5.32132,5.20288,5.21666,10927.573294368
2005-09-28,5.15432,5.18902,4.81286,5.03598,125810.57975794
2005-09-29,4.98713,5.11914,4.95215,5.05643,49348.736130386
2005-09-30,5.00769,5.15432,4.96591,5.15432,73873.705878678
2005-10-03,5.11208,5.22364,4.9312,5.11208,61116.809308318
2005-10-04,5.07737,5.21666,4.80578,4.87566,288603.1543927
2005-10-05,4.87566,4.88961,4.68753,4.72234,149016.76004698
2005-10-06,4.76402,4.76402,4.64567,4.71526,89446.59950139
2005-10-07,4.71526,4.93828,4.71526,4.93828,109319.80007314
2005-10-10,4.81286,5.11208,4.79909,5.00769,152157.34912597
2005-10-11,5.11208,5.2588,5.08472,5.23778,147696.89577969
2005-10-12,5.22364,5.2935,5.18195,5.25164,83959.704481447
2005-10-13,5.12631,5.23778,4.9312,5.00089,60643.893772809
2005-10-14,5.02174,5.11208,5.02174,5.09858,14584.070230283
2005-10-17,5.07068,5.26569,5.06351,5.26569,51664.947446345
2005-10-18,5.27257,5.30727,5.20288,5.2935,35873.867792479
2005-10-19,5.22364,5.2307,5.0916,5.21666,35052.71445355
2005-10-20,5.18195,5.2307,5.14752,5.16101,12530.112074924
2005-10-21,5.11914,5.22364,5.03598,5.1679,46725.129716345
2005-10-24,5.14018,5.22364,4.93828,4.97298,148053.7320474
2005-10-25,4.86869,4.91762,4.73648,4.77099,123788.86584364
2005-10-26,4.79909,5.09858,4.79909,5.02881,104905.56347236
2005-10-27,5.07737,5.22364,5.07068,5.17506,73660.8938877
2005-10-28,5.1051,5.22364,5.05643,5.18195,30563.241290317
2005-10-31,5.15432,5.36328,5.15432,5.36328,60522.440464826
2005-11-01,5.39101,5.39101,5.23778,5.39101,105149.54489637
2005-11-02,5.33509,5.39789,5.33509,5.39789,123518.01421876
2005-11-03,5.40505,5.46042,5.36328,5.39101,101706.93475947
2005-11-04,5.35612,5.45382,5.2307,5.35612,95707.356306711
2005-11-07,5.39101,5.39101,5.11914,5.11914,70236.5554874
2005-11-08,5.08472,5.35612,5.08472,5.25164,197544.34283844
2005-11-09,5.18902,5.50945,5.18902,5.50945,196538.32251745
2005-11-10,5.46777,5.60685,5.46777,5.54406,165771.94250847
2005-11-11,5.54406,5.55792,5.50945,5.55792,18093.318465368
2005-11-14,5.55792,5.55792,5.23778,5.55114,64486.332498822
2005-11-15,5.55114,5.71144,5.40505,5.45382,99540.121760405
2005-11-16,5.47484,5.48163,5.42572,5.47484,25355.79635954
2005-11-17,5.47484,5.49578,5.40505,5.47484,71671.424214455
2005-11-18,5.43269,5.43948,5.27257,5.39101,89440.150653178
2005-11-21,5.39101,5.39101,5.26569,5.2935,78255.698238386
2005-11-22,5.17506,5.45382,5.17506,5.35612,145702.05206628
2005-11-23,5.30049,5.55114,5.19609,5.31434,110183.94573347
2005-11-25,5.42572,5.55792,5.42572,5.55792,53137.434454636
2005-11-28,5.49578,5.54406,5.20288,5.50238,30076.35325035
2005-11-29,5.44673,5.48842,5.40505,5.48842,50660.001933389
2005-11-30,5.42572,5.46042,5.39101,5.45382,26374.714376955
2005-12-01,5.43269,5.54406,5.40505,5.50945,78912.405947923
2005-12-02,5.51633,5.56499,5.27257,5.56499,55259.105516216
2005-12-05,5.60685,5.60685,5.39101,5.537,28185.765916348
2005-12-06,5.537,5.59998,5.45382,5.52341,80985.710647916
2005-12-07,5.50945,5.59309,5.50945,5.55114,49371.307099126
2005-12-08,5.43948,5.59309,5.39789,5.54406,104186.51689678
2005-12-09,5.56499,5.59998,5.53029,5.53029,86761.72902934
2005-12-12,5.59998,5.59998,5.53029,5.53029,47005.654613544
2005-12-13,5.60685,5.80876,5.54406,5.80876,95595.576271044
2005-12-14,5.76028,5.76028,5.57932,5.69721,52874.106485999
2005-12-15,5.58584,5.71144,5.537,5.68353,40207.4937906
2005-12-16,5.70437,5.85072,5.61375,5.63468,98688.873796489
2005-12-19,5.66967,5.76708,5.53029,5.53029,24061.727485101
2005-12-20,5.55114,5.63468,5.55114,5.55114,35045.190797302
2005-12-21,5.53029,5.64175,5.53029,5.57216,23126.644494435
2005-12-22,5.67664,5.72522,5.50945,5.50945,55451.496154525
2005-12-23,5.59998,5.69032,5.57216,5.66967,12892.322382802
2005-12-27,5.72522,5.76028,5.48163,5.57932,49055.313536763
2005-12-28,5.537,5.59998,5.43948,5.44673,37800.998599679
2005-12-29,5.46042,5.73898,5.46042,5.68353,44236.949114745
2005-12-30,5.56499,5.63468,5.48842,5.58584,35795.406805906
2006-01-03,5.48163,5.73898,5.48163,5.73898,70147.346420473
2006-01-04,5.80196,5.93436,5.75312,5.86458,176342.67953513
2006-01-05,5.93436,5.93436,5.80196,5.82271,45484.801243668
2006-01-06,5.93436,5.94822,5.80196,5.94822,131294.25035378
2006-01-09,5.99688,6.09429,5.8858,6.09429,188072.05962379
2006-01-10,6.19217,6.19217,5.95483,6.05262,99834.619162063
2006-01-11,6.15692,6.15692,6.07345,6.0876,86302.785998289
2006-01-12,6.15692,6.15692,6.04583,6.10825,103692.10520057
2006-01-13,6.06666,6.7212,6.06666,6.65858,543402.52126882
2006-01-17,6.65858,6.93733,6.65858,6.92356,355643.23078328
2006-01-18,6.78392,6.93733,6.57503,6.70743,123567.45538838
2006-01-19,6.81182,6.87556,6.66556,6.75609,164828.26105352
2006-01-20,6.81879,7.02768,6.76297,6.88867,116728.4518601
2006-01-23,6.95818,8.05102,6.93733,7.98952,1089888.6667907
2006-01-24,7.98952,8.55455,7.95472,8.52627,762594.57274518
2006-01-25,8.34364,8.574,8.26734,8.35768,365669.04013607
2006-01-26,8.35768,8.44132,8.35768,8.36522,207198.26861105
2006-01-27,8.42718,8.6581,8.38634,8.45453,338044.32401411
2006-01-30,8.64396,8.79617,8.46867,8.76872,320619.53614667
2006-01-31,8.79617,9.40077,8.76073,9.23514,347271.55099673
2006-02-01,9.22118,9.33189,9.09651,9.21467,229382.30645856
2006-02-02,9.14303,9.35426,9.0351,9.33189,220448.50206958
2006-02-03,9.35426,10.0241,9.19327,9.77015,729836.5734469
2006-02-06,9.83987,9.97474,9.63798,9.81946,364839.28833286
2006-02-07,9.90502,9.96271,9.40077,9.86876,782667.6876115
2006-02-08,9.86876,10.1134,9.38213,9.74405,541489.36296607
2006-02-09,9.6734,9.91247,9.47422,9.81946,472598.46713882
2006-02-10,9.77015,10.1851,9.77015,9.99617,365376.69235049
2006-02-13,10.1404,10.748,10.0501,10.5097,718422.11211256
2006-02-14,10.4549,10.601,9.98872,10.5377,349710.2904287
2006-02-15,10.628,10.7536,10.573,10.6977,350621.7276426
2006-02-16,10.6977,10.8019,10.5377,10.734,267778.74870977
2006-02-17,10.7814,10.7814,10.6633,10.7415,377508.05064433
2006-02-21,10.8158,11.1369,10.4475,11.0541,515323.16134796
2006-02-22,11.1713,11.4384,11.0541,11.4085,304142.72896633
2006-02-23,11.4514,11.7835,11.2932,11.7267,479763.13750177
2006-02-24,11.776,11.91,11.6923,11.8263,368684.95148298
2006-02-27,11.9668,12.5176,11.9017,12.2803,1152024.3941165
2006-02-28,12.2999,12.5855,12.1901,12.5781,694640.90952466
2006-03-01,12.8721,13.3094,12.6479,13.2452,1124326.5910482
2006-03-02,13.394,13.7309,12.9763,13.675,1690547.2869054
2006-03-03,13.6247,14.089,12.8926,14.0063,1749695.0478931
2006-03-06,14.0184,14.2714,13.7773,14.1095,1411296.0372272
2006-03-07,14.1095,14.1523,13.5671,13.8629,1584023.0625318
2006-03-08,13.4145,14.0965,12.9837,13.702,1381492.6852179
2006-03-09,13.7699,14.1886,13.7178,14.0184,874622.88906714
2006-03-10,14.1886,14.5421,14.1523,14.3737,1059528.5642191
2006-03-13,14.5338,14.891,14.41,14.8491,755678.18303837
2006-03-14,14.9952,15.3516,14.959,15.3097,1228405.6271414
2006-03-15,15.3563,16.2792,15.3563,16.175,1305385.528242
2006-03-16,16.3396,16.8021,14.3449,14.6622,4539585.0130671
2006-03-17,14.6007,15.4678,14.3533,15.3563,1584814.1212458
2006-03-20,15.4213,15.7684,14.8418,15.5795,1379772.9923615
2006-03-21,15.7349,15.8372,15.3097,15.4762,794785.07340088
2006-03-22,15.5033,16.7676,15.5033,16.5127,1747757.1690055
2006-03-23,16.6597,17.1147,16.175,17.0719,1498473.7169662
2006-03-24,17.2273,17.9139,17.2189,17.845,1290230.734945
2006-03-27,18.0023,18.6806,16.6876,18.6666,2827631.8493318
2006-03-28,18.7224,18.822,18.2294,18.6526,1650148.4772844
2006-03-29,18.9932,20.0175,18.701,19.9896,2776110.9261622
2006-03-30,19.7384,20.0175,19.3783,19.6547,2491632.8850088
2006-03-31,19.5644,19.6547,18.4619,19.1318,2691173.1463686
2006-04-03,19.1392,20.2203,19.0955,19.9626,1525498.6902045
2006-04-04,19.8853,20.2203,19.4389,20.0454,1263925.8830903
2006-04-05,20.0175,20.0668,19.4946,19.5775,1306419.4935719
2006-04-06,19.5775,19.584,18.0023,18.6526,2822851.1031911
2006-04-07,18.8341,19.0769,17.9483,18.3596,1358740.0739197
2006-04-10,17.8664,18.3326,17.2273,17.3883,1831771.6886967
2006-04-11,17.5157,18.0936,17.2189,17.7622,1241157.1496716
2006-04-12,17.7687,18.9932,17.6506,18.8341,1514302.4149014
2006-04-13,18.8899,19.1597,18.4145,18.7672,961325.50365455
2006-04-17,18.8769,19.1681,18.2507,18.6945,775641.66748507
2006-04-18,18.7522,19.584,18.5168,19.316,1252082.57335
2006-04-19,19.5086,19.6248,18.3521,18.6173,1132747.7120043
2006-04-20,18.7736,19.0072,18.1157,18.8899,866625.24247686
2006-04-21,16.4066,16.589,14.2714,15.2325,5607191.8344792
2006-04-24,15.2678,15.2743,14.278,14.8418,2289135.8267439
2006-04-25,14.7403,14.8491,14.4379,14.7068,1197782.1966011
2006-04-26,14.6622,14.6622,13.4853,13.5671,1833531.1494504
2006-04-27,13.1437,13.2312,12.3045,12.3967,2872389.0055357
2006-04-28,12.4748,12.9335,12.4748,12.592,1455757.6212213
2006-05-01,12.7818,12.9288,12.2728,12.5445,1083475.2872444
2006-05-02,12.5585,13.4359,12.3482,13.3094,1257768.3078564
2006-05-03,13.4638,13.9513,12.9763,13.6592,1215750.8373344
2006-05-04,13.4991,14.557,13.4778,13.9848,1428251.1339833
2006-05-05,14.0685,14.3309,13.6536,14.0527,906198.59952667
2006-05-08,13.9848,14.4872,13.9848,14.1607,287713.21333951
2006-05-09,14.2025,14.2993,13.9718,14.0825,441287.15945595
2006-05-10,14.1523,14.4732,14.0063,14.4583,423215.33715129
2006-05-11,14.4658,14.8306,14.0184,14.1318,611283.09754296
2006-05-12,14.0751,14.0825,12.6766,12.8098,924445.61554108
2006-05-15,12.5855,12.6153,11.2438,11.7975,1453680.0172893
2006-05-16,11.9017,13.019,11.79,12.3967,1332851.1727747
2006-05-17,12.5027,12.8795,11.8812,12.0366,840335.43793469
2006-05-18,12.1352,12.6069,11.8263,11.91,402459.71918261
2006-05-19,11.7975,11.8486,10.5052,11.1155,1172498.41238
2006-05-22,10.9768,11.068,10.4055,10.7117,817474.27102497
2006-05-23,11.0819,11.6979,10.9833,11.229,800477.25675555
2006-05-24,11.3937,12.6358,11.2057,12.3827,1948291.627798
2006-05-25,12.6906,13.5391,12.5781,13.2117,1120648.5979516
2006-05-26,13.4442,13.4573,12.8172,13.3651,641392.76984239
2006-05-30,13.3094,13.7931,13.0312,13.3856,720430.92833044
2006-05-31,13.554,14.5924,13.273,14.5208,1011497.5427399
2006-06-01,14.4583,15.2818,14.3188,14.7068,1373914.2137613
2006-06-02,14.8845,15.1487,14.4583,14.7543,643302.70372103
2006-06-05,14.6407,14.8491,13.8127,13.9169,674775.23260916
2006-06-06,13.7094,14.4435,13.3308,14.1393,984955.15830948
2006-06-07,14.3123,14.8175,14.0119,14.4231,838383.58654268
2006-06-08,14.4026,14.4026,13.6164,14.1393,899838.9603821
2006-06-09,14.2844,14.9255,14.1393,14.3607,529368.75275259
2006-06-12,14.4798,14.4798,13.1288,13.1698,764656.0545568
2006-06-13,12.8098,13.0656,12.0002,12.2859,1005058.3678008
2006-06-14,12.0505,13.1977,12.0366,13.1288,944706.82181353
2006-06-15,13.408,14.3449,13.1698,14.1886,849991.51332337
2006-06-16,14.1886,14.4872,13.5186,13.6536,686471.29364873
2006-06-19,13.5466,13.7178,12.6479,12.7185,484442.85168724
2006-06-20,13.2181,13.7773,12.7185,13.675,513616.36618799
2006-06-21,13.6676,14.7682,13.5736,14.6063,847798.90493145
2006-06-22,14.7682,15.1906,14.4026,14.8222,1011066.5447178
2006-06-23,15.226,16.4755,14.905,16.1089,1087648.7668453
2006-06-26,16.5127,17.4384,16.2094,16.4978,1287982.2365352
2006-06-27,16.6104,16.9109,15.5107,15.7191,725188.02869445
2006-06-28,15.7395,16.6234,15.3786,16.348,896144.84516495
2006-06-29,16.5127,16.6746,16.3666,16.4755,866306.02449039
2006-06-30,16.8021,16.9668,16.0187,16.3137,2978919.6787573
2006-07-03,16.4755,16.7518,16.3396,16.5965,242082.23820306
2006-07-05,16.5825,16.6374,16.1248,16.175,509534.24527011
2006-07-06,16.175,16.5201,15.5107,15.76,517995.13412358
2006-07-07,15.7768,15.7768,14.8306,14.8631,682999.66369489
2006-07-10,14.8994,14.959,13.9718,14.1234,822778.44867891
2006-07-11,13.9848,14.1523,13.315,13.7243,660762.96025363
2006-07-12,13.6033,13.9309,13.4145,13.4145,502834.96678642
2006-07-13,13.2181,13.3856,12.914,12.9557,657255.86163462
2006-07-14,12.9763,13.1363,12.0505,12.2311,645759.7148896
2006-07-17,12.1901,12.3333,11.9668,12.1491,554432.20132654
2006-07-18,12.1491,12.5725,12.03,12.2515,582387.95832335
2006-07-19,12.1278,13.3577,11.9314,13.3364,695919.93108661
2006-07-20,13.3364,13.7383,11.8105,11.8747,843578.13377703
2006-07-21,11.776,11.776,11.0038,11.3807,948543.88649938
2006-07-24,11.4997,12.698,11.3546,12.3762,725203.07600695
